,MemberName,State,Party Name
22,SAUGATA ROY,N/A,N/A
26,RAHUL RAMESH SHEWALE,N/A,N/A
27,PRATAPRAO GANPATRAO JADHAV,N/A,N/A
32,RAMSINH PATALYABHAI RATHWA,N/A,N/A
42,DODDAALAHALLI KEMPEGOWDA SURESH,N/A,N/A
44,B.V. NAYAK,N/A,N/A
50,P.K.SREEMATHI TEACHER,N/A,N/A
51,JAGDAMBIKA PAL ,N/A,N/A
61,NARANBHAI KACHHADIA,N/A,N/A
67,YOGI ADITYANATH ,N/A,N/A
80,MD. BADARIDDOZA KHAN,N/A,N/A
82,ANANT KUMAR DATTATREYA HEGDE,N/A,N/A
83,PARAYAMPARANBIL KUTTAPPAN BIJU,N/A,N/A
111,POONAM MAHAJAN,N/A,N/A
112,SONA RAM CHOUDHARY,N/A,N/A
120,KESHAV PRASAD MAURYA,N/A,N/A
132,ELUMALAI VELLAIGOUNDER,N/A,N/A
134,ADVOCATE NARENDRA KESHAV SAWAIKAR,N/A,N/A
137,RANGASWAMY DHRUVANARAYANA,N/A,N/A
138,RAJESH RANJAN (PAPPU YADAV),N/A,N/A
153,YERRAM VENKATA SUBBAREDDY,N/A,N/A
154,TARIQ ANWAR ,N/A,N/A
156,CHANDRAKANT RAGHUNATH PATIL,N/A,N/A
168,DEVUSINH JESINGBHAI CHAUHAN,N/A,N/A
174,R.K. BHARATHI MOHAN,N/A,N/A
188,ANUPRIYA SINGH PATEL,N/A,N/A
189,SUKHBIR SINGH JAUNPURIA,N/A,N/A
190,MUTHAMSETTI SRINIVASA RAO (AVNTHI),N/A,N/A
208,BALASUBRAMANIAM SENGUTTUVAN,N/A,N/A
213,K. KAMARAAJ,N/A,N/A
214,SEETARAM AJMEERA NAIK,N/A,N/A
218,VIJAY KUMAR S.R.,N/A,N/A
224,RAMCHARAN BOHARA,N/A,N/A
226,VINCENT H PALA,N/A,N/A
236,K. ASHOK KUMAR,N/A,N/A
241,RAM KUMAR SHARMA KUSHWAHA,N/A,N/A
249,MAJ. GEN. (RETD) BHUWAN CHANDRA KHANDURI AVSM,N/A,N/A
252,PR. SENTHILNATHAN,N/A,N/A
270,PARBHUBHAI NAGARBHAI VASAVA,N/A,N/A
289,J. JAYASINGH THIYAGARAJ NATTERJEE,N/A,N/A
297,DHARAMBIR BHALERAM,N/A,N/A
300,PANKAJ CHOWDHARY,N/A,N/A
311,HEMAMALINI,N/A,N/A
314,DILIP PATEL,N/A,N/A
316,VENKATESWARA RAO MAGANTTI,N/A,N/A
317,ANIL SHIROLE,N/A,N/A
328,KRISHN PRATAP SINGH,N/A,N/A
336,BHARATI DHIRUBHAI SHIYAL,N/A,N/A
337,JASVANTSINH SUMANBHAI BHABHOR,N/A,N/A
340,PROF. RAM SHANKAR,N/A,N/A
341,MOHANBHAI KALYANJIBHAI KUNDARIYA,N/A,N/A
343,BODH SINGH BHAGAT,N/A,N/A
346,PRITAM GOPINATH MUNDE,N/A,N/A
357,S.SELVAKUMARA CHINNAYAN,N/A,N/A
363,BIRENDRA KUMAR CHOUDHARY,N/A,N/A
367,SHARAD BANSODE,N/A,N/A
369,RAOSAHEB PATIL DANVE,N/A,N/A
376,MANHOR UNTWAL,N/A,N/A
403,RANJANBEN BHATT,N/A,N/A
404,SAKSHI SWAMI MAHARAJ,N/A,N/A
413,TASLIMUDDIN,N/A,N/A
423,NABA KUMAR SARANIA,N/A,N/A
